    PK06S040  2006 06  1.7944  3.068168  0.508472  305.7347   36.1338   39.6254  20071027  11.0  4.0  P/2006 S4 (Christensen)
    CK06S050  2007 12  9.7517  2.630421  0.973017  182.1101  281.5630   10.1314  20071027   8.0  4.0  C/2006 S5 (Hill)
    PK06T010  2006 10  7.4184  0.990965  0.671926  179.5492  279.7798   18.3287  20071027  10.5  4.0  P/2006 T1 (Levy)
    PK06U050  2007 01 18.8293  2.325785  0.340881   98.3695    5.0928    3.4307  20071027  12.5  4.0  P/2006 U5 (Christensen)
    CK06U060  2008 06  5.4600  2.498368  0.998721  276.5945  180.1877   84.8793  20071027   8.0  4.0  C/2006 U6 (Spacewatch)
    CK06U070  2007 03 28.8973  4.423228  0.631419   13.0244   57.7603    7.2267  20071027  11.0  4.0  C/2006 U7 (Gibbs)
    CK06V010  2007 11 26.5532  2.674926  0.989543  253.4092  335.7234   31.1193  20071027   8.0  4.0  C/2006 V1 (Catalina)
    CK06V13Z  2007 08 10.8895  1.015240  1.000249  174.1144   66.0275  134.7932  20071027  10.5  4.0  C/2006 VZ13 (LINEAR)
    CK06W030  2009 07  6.4687  3.127068  1.000349  133.4758  113.5662  127.0715  20071027   5.0  4.0  C/2006 W3 (Christensen)
    CK06X010  2006 03  5.9362  6.126114  1.000681  101.2960  255.2421   42.6178  20071027   7.0  4.0  C/2006 X1 (LINEAR)
    CK06X01A  2007 07 21.9017  1.804364  0.992627  187.4207  318.6624   30.6306  20071027  10.0  4.0  C/2006 XA1 (LINEAR)
    CK06Y00C  2006 09 11.5769  4.947741  0.999900  335.4945  154.2894   69.5746  20071027   8.0  4.0  C/2006 YC (Catalina-Christensen)
    CK07B020  2008 08 20.8107  2.975122  0.996070  205.9856   14.8721   27.4931  20071027   6.0  4.0  C/2007 B2 (Skiff)
    PK07C020  2007 09  4.6339  3.779471  0.462311  179.4645  276.1182    8.6745  20071027  10.0  4.0  P/2007 C2 (Catalina)
    CK07D010  2007 06 19.4187  8.793610  1.001488  340.1622  171.0921   41.4653  20071027   3.5  4.0  C/2007 D1 (LINEAR)
    CK07D030  2007 05 27.6980  5.208973  0.991974  309.0937  148.4297   45.9198  20071027   7.5  4.0  C/2007 D3 (LINEAR)
    CK07E010  2007 05 23.8294  1.285811  0.980275    7.1019  153.8294  174.3941  20071027  12.5  4.0  C/2007 E1 (Garradd)
    CK07E020  2007 03 27.4979  1.092984  0.999231  340.5362  232.4338   95.8842  20071027   9.5  4.0  C/2007 E2 (Lovejoy)
    CK07F010  2007 10 28.7593  0.402402  1.000065  153.7062  172.8884  116.0851  20071027  10.0  4.0  C/2007 F1 (LONEOS)
    CK07G010  2008 11 16.5168  2.645728  1.001135  224.0428   78.9894   88.3626  20071027   5.5  4.0  C/2007 G1 (LINEAR)
    PK07H010  2007 08 17.6618  2.281031  0.378107  202.6169  144.3758   11.8740  20071027  10.0  4.0  P/2007 H1 (McNaught)
    PK07H030  2007 08 15.3000  1.829276  0.477522  350.1332  263.6575   25.2163  20071027  14.0  4.0  P/2007 H3 (Garradd)
    CK07J21A  2006 11 14.8891  5.369280  1.001535   93.7614   65.5250   89.8394  20071027   8.0  4.0  C/2007 JA21 (LINEAR)
    CK07K010  2007 05  9.4211  9.238945  0.978284   52.0559  294.6540  108.4284  20071027   6.0  4.0  C/2007 K1 (Lemmon)
    CK07K030  2008 04 21.7676  2.050713  1.000740   23.6034  263.2575   16.3003  20071027   9.5  4.0  C/2007 K3 (Siding Spring)
    CK07K040  2007 05  3.4810  3.527055  1.002154  162.3658   68.5160   98.5998  20071027  10.5  4.0  C/2007 K4 (Gibbs)
    CK07K060  2007 07  1.4998  3.433021  0.984856  337.1444  298.0741  105.0720  20071027  11.0  4.0  C/2007 K6 (McNaught)
    CK07M010  2008 08 11.0727  7.474036  0.998111   52.6060  326.8069  139.7253  20071027   6.0  4.0  C/2007 M1 (McNaught)
    CK07M020  2008 12  8.5730  3.541015  0.999232  220.6695  357.2845   80.9379  20071027   8.0  4.0  C/2007 M2 (Catalina)
    CK07M030  2007 09  4.5320  3.468731  0.980415  125.7383   41.6411  161.7553  20071027   9.5  4.0  C/2007 M3 (LINEAR)
    CK07N030  2009 01 10.6577  1.209265  0.999581  136.9164  338.4791  178.3704  20071027   6.5  4.0  C/2007 N3 (Lulin)
    CK07O010  2007 06  3.2455  2.876674  1.004348  159.3898  116.2338   24.3846  20071027  10.0  4.0  C/2007 O1 (LINEAR)
    CK07Q010  2006 12 10.844   2.97763   1.00000   281.837     5.932    81.871             10.5  4.0  C/2007 Q1 (Garradd)
    PK07Q020  2007 08 23.8861  1.839028  0.671227  163.1530  172.2491   10.2384  20071027  16.0  4.0  P/2007 Q2 (Gilmore)
    CK07Q030  2009 10  7.3765  2.250336  0.999771    2.1312  149.4364   65.6527  20071027   4.5  4.0  C/2007 Q3 (Siding Spring)
    PK07R010  2007 08 25.7344  4.351241  0.277833  175.3821  181.6663    7.8717  20071027   8.0  4.0  P/2007 R1 (Larson)
    PK07R020  2007 08 26.6747  1.465824  0.573760  353.0475    8.8227    1.4340  20071027  17.0  4.0  P/2007 R2 (Gibbs)
    PK07R030  2007 07  6.2927  2.500088  0.416270  312.0987   30.0726    3.8033  20071027  13.5  4.0  P/2007 R3 (Gibbs)
    PK07R040  2007 09 27.2947  1.921387  0.671432  282.8762   87.5010   20.2260  20071027  14.5  4.0  P/2007 R4 (Garradd)
    PK07S010  2007 12  6.7033  2.494380  0.343312  245.3891  141.6164    5.9725            13.0  4.0  P/2007 S1 (Zhao)
    CK07S020  2008 09 14.9832  5.557517  0.556912  210.4781  296.2527   16.8631  20071027   6.5  4.0  C/2007 S2 (Lemmon)
    CK07T010  2007 12 12.520   0.96882   1.00000   233.728   111.429   117.646             10.5  4.0  C/2007 T1 (McNaught)
    PK07T020  2007 09 19.0228  0.695882  0.774849  358.5527    3.9964    9.8952  20071027  18.5  4.0  P/2007 T2 (Kowalski)
    PK07T040  2007 07 20.3414  2.005990  0.614168   42.3664   37.1654   23.8690            13.0  4.0  P/2007 T4 (Gibbs)
    CK07T050  2008 05 24.2130  4.049258  0.913664   34.4134  109.8427   45.6144  20071027   8.0  4.0  C/2007 T5 (Gibbs)
    PK07T060  2007 08 19.6577  2.232266  0.503074  335.8654  102.6340   22.1511  20071027  12.5  4.0  P/2007 T6 (Catalina)
    CK07U010  2008 08  7.2512  3.329068  0.999654    0.9573   50.0516  157.7858  20071027   9.0  4.0  C/2007 U1 (LINEAR)
    PK07V010  2007 12  8.5058  2.676639  0.461148   51.4505    8.1869   10.7895  20071027  12.0  4.0  P/2007 V1 (Larson)
    PK07V020  2007 07 30.9544  2.774824  0.317855  278.5338   99.8674    2.4707  20071027  13.0  4.0  P/2007 V2 (Hill)
    CK07W010  2008 06 24.971   0.85070   1.00000   306.519   334.528     9.885              9.5  4.0  C/2007 W1 (Boattini)
    CK07W030  2008 06  2.797   1.77714   1.00000   112.608    73.070    78.675             12.0  4.0  C/2007 W3 (LINEAR)
    CK07Y010  2008 03 29.187   3.28957   1.00000   359.744   132.964   110.230             10.5  4.0  C/2007 Y1 (LINEAR)
